Rute,E[t] timer,std(t) timer,t P10,t P50,t P90,E[GC] kr,std(GC) kr,GC P10,GC P90,Palit.premie kr,GC m/palit.
R1,191.6801416516513,24.28021595594481,159.41626753705964,191.75850885106232,223.7314680854328,100005.44674504492,8012.471265461788,89358.36828722968,110582.38446819282,6409.977012369431,106415.42375741436
R2,181.31436723383413,26.589571230733764,146.14491728104642,181.6302685531192,216.34226401635607,88610.74118716526,8774.558506142143,77004.82270274531,100169.9471253975,7019.646804913714,95630.38799207898
R3,217.75192950144094,35.321063982810045,171.57138092900811,218.22388098912583,263.9973592980379,101287.1367354755,11655.951114327314,86047.55570657268,116548.12856835249,9324.760891461852,110611.89762693735
R4,186.18400211105583,25.11777591579311,152.99613888987483,186.26165958972643,219.28857438926747,94829.72069664844,8288.866052211726,83877.7258336587,105754.22954845826,6631.092841769381,101460.8135384178
R5,299.4930904722289,33.974497264970545,254.84460047743684,298.9537294807352,343.4028058418656,151379.71985583554,11211.58409744028,136645.71815755416,165869.92592781564,8969.267277952224,160348.98713378777
R6,150.73811397813017,20.58709509631857,122.801284344743,150.8859671918773,178.2843653301016,88852.57761278297,6793.741381785128,79633.42383376518,97942.84055893353,5434.993105428102,94287.57071821106
